	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
55	Animal-Swine-Sow (cecal)_HMV_environmental/other	0	102	102	animal-swine-sow-(cecal)_hmv_environmental/other	Swine
56	Animal-Swine-Sow 2_HMV_environmental/other	0	1	1	animal-swine-sow-2_hmv_environmental/other	Swine
57	Animal-Swine-Sow1_HMV_environmental/other	0	1	1	animal-swine-sow1_hmv_environmental/other	Swine
58	Animal-Turkey-Young Turkey (cecal)_HMV_environmental/other	0	113	113	animal-turkey-young-turkey-(cecal)_hmv_environmental/other	Poultry
59	Animal-Turkey-Young Turkey 1_HMV_environmental/other	0	1	1	animal-turkey-young-turkey-1_hmv_environmental/other	Poultry
60	Animal-Turkey-Young Turkey 2_HMV_environmental/other	0	1	1	animal-turkey-young-turkey-2_hmv_environmental/other	Poultry
61	Animal-Turkey-Young Turkey_HMV_environmental/other	0	416	416	animal-turkey-young-turkey_hmv_environmental/other	Poultry
62	Antelope, Oryx_HMV_environmental/other	0	1	1	antelope,-oryx_hmv_environmental/other	Environment
63	Anus (Canis lupus familiaris)_HMV_environmental/other	0	1	1	anus-(canis-lupus-familiaris)_hmv_environmental/other	Dog
64	Apple cider_HMV_environmental/other	0	8	8	apple-cider_hmv_environmental/other	plant_based_food
65	Avian; Colon_HMV_environmental/other	0	1	1	avian;-colon_hmv_environmental/other	Environment
66	Avian; Intestine_HMV_environmental/other	0	1	1	avian;-intestine_hmv_environmental/other	Environment
67	Avian_HMV_environmental/other	0	128	128	avian_hmv_environmental/other	Environment
68	BAL (Canis lupus familiaris)_HMV_environmental/other	0	1	1	bal-(canis-lupus-familiaris)_hmv_environmental/other	Dog
69	BAL_Homo sapiens_clinical	2	0	2	bal_homo-sapiens_clinical	Homosapiens
70	BCB (Canis lupus familiaris)_HMV_environmental/other	0	1	1	bcb-(canis-lupus-familiaris)_hmv_environmental/other	Dog
71	BEEF TRIM_HMV_environmental/other	0	1	1	beef-trim_hmv_environmental/other	Ruminant
72	BMT N60 Strips and Chunks_HMV_environmental/other	0	1	1	bmt-n60-strips-and-chunks_hmv_environmental/other	Environment
73	BOXED BEEF TRIM_HMV_environmental/other	0	1	1	boxed-beef-trim_hmv_environmental/other	Ruminant
74	Bacterial isolate specimen_Homo sapiens_clinical	1	0	1	bacterial-isolate-specimen_homo-sapiens_clinical	Homosapiens
75	Bagged Lettuce_HMV_environmental/other	0	2	2	bagged-lettuce_hmv_environmental/other	plant_based_food
76	Bagged lettuce_HMV_environmental/other	0	1	1	bagged-lettuce_hmv_environmental/other	plant_based_food
77	Basil_HMV_environmental/other	0	2	2	basil_hmv_environmental/other	plant_based_food
78	Bear meat sticks_HMV_environmental/other	0	1	1	bear-meat-sticks_hmv_environmental/other	Meat/Meatproduct
79	Bedding_HMV_environmental/other	0	1	1	bedding_hmv_environmental/other	Environment
80	Beef Patties_HMV_environmental/other	0	4	4	beef-patties_hmv_environmental/other	Meat/Meatproduct
81	Beef Trimmings_HMV_environmental/other	0	1	1	beef-trimmings_hmv_environmental/other	Ruminant
82	Beef trim_HMV_environmental/other	0	3	3	beef-trim_hmv_environmental/other	Ruminant
83	Beef trimmings_HMV_environmental/other	0	1	1	beef-trimmings_hmv_environmental/other	Ruminant
84	Beets_HMV_environmental/other	0	1	1	beets_hmv_environmental/other	Environment
85	Bench Trim_HMV_environmental/other	0	2	2	bench-trim_hmv_environmental/other	Environment
86	Bile (Canis lupus familiaris)_HMV_environmental/other	0	2	2	bile-(canis-lupus-familiaris)_hmv_environmental/other	Dog
87	Bile Duct Fluid_Homo sapiens_clinical	2	0	2	bile-duct-fluid_homo-sapiens_clinical	Homosapiens
88	Biliary stone (Canis lupus familiaris)_HMV_environmental/other	0	1	1	biliary-stone-(canis-lupus-familiaris)_hmv_environmental/other	Dog
89	Bladder (Canis lupis familiaris)_HMV_environmental/other	0	1	1	bladder-(canis-lupis-familiaris)_hmv_environmental/other	Dog
90	Bladder (Canis lupus familiaris)_HMV_environmental/other	0	5	5	bladder-(canis-lupus-familiaris)_hmv_environmental/other	Dog
91	Bladder mucosa (Canis lupus familiaris)_HMV_environmental/other	0	1	1	bladder-mucosa-(canis-lupus-familiaris)_hmv_environmental/other	Dog
92	Blood culture_Homo sapiens_clinical	2	0	2	blood-culture_homo-sapiens_clinical	Homosapiens
93	Blood specimen_Homo sapiens_clinical	4	0	4	blood-specimen_homo-sapiens_clinical	Homosapiens
94	Blood_whole_Homo sapiens_clinical	2	0	2	blood_whole_homo-sapiens_clinical	Homosapiens
95	Bone-in Pork Chop_HMV_environmental/other	0	2	2	bone-in-pork-chop_hmv_environmental/other	Environment
96	Bos taurus, Feces_HMV_environmental/other	0	8	8	bos-taurus,-feces_hmv_environmental/other	Ruminant
97	Bos taurus_HMV_environmental/other	0	2	2	bos-taurus_hmv_environmental/other	Ruminant
98	Bovine Air_HMV_environmental/other	0	22	22	bovine-air_hmv_environmental/other	Ruminant
99	Bovine Barrier_HMV_environmental/other	0	26	26	bovine-barrier_hmv_environmental/other	Ruminant
100	Bovine Soil_HMV_environmental/other	0	23	23	bovine-soil_hmv_environmental/other	Ruminant
101	Bovine carcass_HMV_environmental/other	0	1	1	bovine-carcass_hmv_environmental/other	Meat/Meatproduct
102	Bovine hide_HMV_environmental/other	0	67	67	bovine-hide_hmv_environmental/other	Ruminant
103	Bronchi (Canis lupus familiaris)_HMV_environmental/other	0	1	1	bronchi-(canis-lupus-familiaris)_hmv_environmental/other	Dog
104	Bronchial secretions_Homo sapiens_clinical	1	0	1	bronchial-secretions_homo-sapiens_clinical	Homosapiens
105	Buffalo_HMV_environmental/other	0	2	2	buffalo_hmv_environmental/other	Ruminant
106	Bulk Flour_HMV_environmental/other	0	1	1	bulk-flour_hmv_environmental/other	plant_based_food
107	CANINE VAGINAL DISCHARGE-Canis lupus familiaris_HMV_environmental/other	0	1	1	canine-vaginal-discharge-canis-lupus-familiaris_hmv_environmental/other	Dog
108	CANINE WOUND SWAB (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine--ound-s-ab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
109	CSF_Homo sapiens_clinical	2	0	2	csf_homo-sapiens_clinical	Homosapiens
110	Caeca content (Gallus gallus domesticus)_HMV_environmental/other	0	12	12	caeca-content-(gallus-gallus-domesticus)_hmv_environmental/other	Poultry
111	Calf_HMV_environmental/other	0	18	18	calf_hmv_environmental/other	Ruminant
112	Canien Wound Swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canien--ound-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
113	Canine Abdominal Fluid (Canis lupus familiaris)_HMV_environmental/other	0	2	2	canine-abdominal-fluid-(canis-lupus-familiaris)_hmv_environmental/other	Dog
114	Canine Abdominal Swab (Canis lupus familiaris)_HMV_environmental/other	0	2	2	canine-abdominal-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
115	Canine Abscess (Canis lupus familiaris)_HMV_environmental/other	0	2	2	canine-abscess-(canis-lupus-familiaris)_hmv_environmental/other	Dog
116	Canine E-Tube (Canis lupis familiaris)_HMV_environmental/other	0	1	1	canine-e-tube-(canis-lupis-familiaris)_hmv_environmental/other	Dog
117	Canine Ear (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-ear-(canis-lupus-familiaris)_hmv_environmental/other	Dog
118	Canine Feces_HMV_environmental/other	0	6	6	canine-feces_hmv_environmental/other	Dog
119	Canine Intestine (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-intestine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
120	Canine Joint Swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-joint-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
121	Canine Muscle (Canis lupus familiaris)_HMV_environmental/other	0	3	3	canine-muscle-(canis-lupus-familiaris)_hmv_environmental/other	Dog
122	Canine Peritoneum (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-peritoneum-(canis-lupus-familiaris)_hmv_environmental/other	Dog
123	Canine Skin (Canis lupis familiaris)_HMV_environmental/other	0	1	1	canine-skin-(canis-lupis-familiaris)_hmv_environmental/other	Dog
124	Canine Skin (Canis lupus familiaris)_HMV_environmental/other	0	4	4	canine-skin-(canis-lupus-familiaris)_hmv_environmental/other	Dog
125	Canine Testicle Swab (Canis lupis familiaris)_HMV_environmental/other	0	1	1	canine-testicle-swab-(canis-lupis-familiaris)_hmv_environmental/other	Dog
126	Canine Thoracic Fluid (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-thoracic-fluid-(canis-lupus-familiaris)_hmv_environmental/other	Dog
127	Canine Trachea (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-trachea-(canis-lupus-familiaris)_hmv_environmental/other	Dog
128	Canine Transtracheal Wash (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-transtracheal--ash-(canis-lupus-familiaris)_hmv_environmental/other	Dog
129	Canine Urine (Canine)_HMV_environmental/other	0	10	10	canine-urine-(canine)_hmv_environmental/other	Dog
130	Canine Urine (Canis lupis familiaris)_HMV_environmental/other	0	12	12	canine-urine-(canis-lupis-familiaris)_hmv_environmental/other	Dog
131	Canine Urine (Canis lupus familiaris)_HMV_environmental/other	0	53	53	canine-urine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
132	Canine Urine_Canine_clinical	12	0	12	canine-urine_canine_clinical	Homosapiens
133	Canine Uterus (Canis lupis)_HMV_environmental/other	0	13	13	canine-uterus-(canis-lupis)_hmv_environmental/other	Dog
134	Canine Uterus_HMV_environmental/other	0	1	1	canine-uterus_hmv_environmental/other	Dog
135	Canine bile (Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-bile-(canis-lupus-familiaris)_hmv_environmental/other	Dog
136	Canine bite wound (Canis lupus)_HMV_environmental/other	0	1	1	canine-bite-wound-(canis-lupus)_hmv_environmental/other	Dog
137	Canine bladder-Canis lupus familiaris_HMV_environmental/other	0	2	2	canine-bladder-canis-lupus-familiaris_hmv_environmental/other	Dog
138	Canine feces_HMV_environmental/other	0	2	2	canine-feces_hmv_environmental/other	Dog
139	Canine skin (canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-skin-(canis-lupus-familiaris)_hmv_environmental/other	Dog
140	Canine urine (Canis lupis familiaris)_HMV_environmental/other	0	4	4	canine-urine-(canis-lupis-familiaris)_hmv_environmental/other	Dog
141	Canine urine (Canis lupus familiaris)_HMV_environmental/other	0	4	4	canine-urine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
142	Canine urine (Canius lupus)_HMV_environmental/other	0	2	2	canine-urine-(canius-lupus)_hmv_environmental/other	Dog
143	Canine urine (canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-urine-(canis-lupus-familiaris)_hmv_environmental/other	Dog
144	Canine urine(Canis lupus familiaris)_HMV_environmental/other	0	1	1	canine-urine(canis-lupus-familiaris)_hmv_environmental/other	Dog
145	Canine-respiratory_HMV_environmental/other	0	1	1	canine-respiratory_hmv_environmental/other	Dog
146	Canis lupus familiaris , Bile_HMV_environmental/other	0	1	1	canis-lupus-familiaris-,-bile_hmv_environmental/other	Dog
147	Canis lupus familiaris , Joint fluid_HMV_environmental/other	0	1	1	canis-lupus-familiaris-,-joint-fluid_hmv_environmental/other	Dog
148	Canis lupus familiaris , Urine_HMV_environmental/other	0	3	3	canis-lupus-familiaris-,-urine_hmv_environmental/other	Dog
149	Canis lupus familiaris , urine - cystocentesis_HMV_environmental/other	0	1	1	canis-lupus-familiaris-,-urine---cystocentesis_hmv_environmental/other	Dog
150	Canis lupus familiaris Skin Swab_HMV_environmental/other	0	1	1	canis-lupus-familiaris-skin-swab_hmv_environmental/other	Dog
151	Canis lupus familiaris Skin_HMV_environmental/other	0	1	1	canis-lupus-familiaris-skin_hmv_environmental/other	Dog
152	Canis lupus familiaris Urine_HMV_environmental/other	0	23	23	canis-lupus-familiaris-urine_hmv_environmental/other	Dog
153	Canis lupus familiaris Vaginal_HMV_environmental/other	0	1	1	canis-lupus-familiaris-vaginal_hmv_environmental/other	Dog
154	Canis lupus familiaris bladder_HMV_environmental/other	0	1	1	canis-lupus-familiaris-bladder_hmv_environmental/other	Dog
155	Canis lupus familiaris feces_Canis lupus familiaris_environmental/other	0	4	4	canis-lupus-familiaris-feces_canis-lupus-familiaris_environmental/other	Dog
156	Canis lupus familiaris feces_HMV_environmental/other	0	1	1	canis-lupus-familiaris-feces_hmv_environmental/other	Dog
157	Canis lupus familiaris, Canine urine_HMV_environmental/other	0	5	5	canis-lupus-familiaris,-canine-urine_hmv_environmental/other	Dog
158	Canis lupus familiaris, Ear_HMV_environmental/other	0	1	1	canis-lupus-familiaris,-ear_hmv_environmental/other	Dog
159	Canis lupus familiaris, Feces_HMV_environmental/other	0	1	1	canis-lupus-familiaris,-feces_hmv_environmental/other	Dog
160	Canis lupus familiaris, Intestine_HMV_environmental/other	0	1	1	canis-lupus-familiaris,-intestine_hmv_environmental/other	Dog
161	Canis lupus familiaris, Urine_HMV_environmental/other	0	2	2	canis-lupus-familiaris,-urine_hmv_environmental/other	Dog
162	Canne Urine (Canis familiaris )_HMV_environmental/other	0	1	1	canne-urine-(canis-familiaris-)_hmv_environmental/other	Dog
163	Capybaras_HMV_environmental/other	0	1	1	capybaras_hmv_environmental/other	Environment
164	Carcass N6O_HMV_environmental/other	0	1	1	carcass-n6o_hmv_environmental/other	Meat/Meatproduct
165	Carcass swab (Goat)_HMV_environmental/other	0	3	3	carcass-swab-(goat)_hmv_environmental/other	Meat/Meatproduct
166	Carcass swab (Sheep)_HMV_environmental/other	0	3	3	carcass-swab-(sheep)_hmv_environmental/other	Meat/Meatproduct
167	Cat, (Feline); Feces_HMV_environmental/other	0	2	2	cat,-(feline);-feces_hmv_environmental/other	Environment
168	Cat, (Feline); Urine_HMV_environmental/other	0	1	1	cat,-(feline);-urine_hmv_environmental/other	Environment
169	Cat, (Feline)_HMV_environmental/other	0	4	4	cat,-(feline)_hmv_environmental/other	Environment
170	Cattle Barrier_HMV_environmental/other	0	7	7	cattle-barrier_hmv_environmental/other	Ruminant
171	Cattle Hide_HMV_environmental/other	0	64	64	cattle-hide_hmv_environmental/other	Ruminant
172	Cattle Soil_HMV_environmental/other	0	2	2	cattle-soil_hmv_environmental/other	Ruminant
173	Cattle faeces_HMV_environmental/other	0	2	2	cattle-faeces_hmv_environmental/other	Ruminant
174	Cattle hide_HMV_environmental/other	0	5	5	cattle-hide_hmv_environmental/other	Ruminant
175	Cattle manure (bos taurus)_HMV_environmental/other	0	1	1	cattle-manure-(bos-taurus)_hmv_environmental/other	Ruminant
176	Cecal content (Sheep)_HMV_environmental/other	0	3	3	cecal-content-(sheep)_hmv_environmental/other	Ruminant
177	Cecal content_HMV_environmental/other	0	3	3	cecal-content_hmv_environmental/other	Environment
178	Cecum_Equus caballus_environmental/other	0	1	1	cecum_equus-caballus_environmental/other	Horse
179	Cecum_Mus musculus_environmental/other	0	1	1	cecum_mus-musculus_environmental/other	Environment
180	Cecum_Oryctolagus cuniculus_environmental/other	0	1	1	cecum_oryctolagus-cuniculus_environmental/other	Environment
181	Cecum_Sus scrofa_environmental/other	0	1	1	cecum_sus-scrofa_environmental/other	Swine
182	Celebese ape_HMV_environmental/other	0	4	4	celebese-ape_hmv_environmental/other	Environment
183	Center of yard (Environmental)_HMV_environmental/other	0	1	1	center-of-yard-(environmental)_hmv_environmental/other	Environment
184	Chicken - Mixed Parts_HMV_environmental/other	0	5	5	chicken---mixed-parts_hmv_environmental/other	Poultry
185	Chicken - Whole cut in lab_HMV_environmental/other	0	5	5	chicken----hole-cut-in-lab_hmv_environmental/other	Poultry
186	Chicken Breast ( Gallus gallus)_HMV_environmental/other	0	1	1	chicken-breast-(-gallus-gallus)_hmv_environmental/other	Meat/Meatproduct
187	Chicken Breasts_HMV_environmental/other	0	182	182	chicken-breasts_hmv_environmental/other	Meat/Meatproduct
188	Chicken Fecal House 1 - Front_HMV_environmental/other	0	1	1	chicken-fecal-house-1---front_hmv_environmental/other	Poultry
189	Chicken Fecal House 1 - Middle_HMV_environmental/other	0	1	1	chicken-fecal-house-1---middle_hmv_environmental/other	Poultry
190	Chicken Fecal House 2 - Back_HMV_environmental/other	0	2	2	chicken-fecal-house-2---back_hmv_environmental/other	Poultry
191	Chicken Fecal House 2 - Middle_HMV_environmental/other	0	1	1	chicken-fecal-house-2---middle_hmv_environmental/other	Poultry
192	Chicken Fecal House 2 Back_HMV_environmental/other	0	2	2	chicken-fecal-house-2-back_hmv_environmental/other	Poultry
193	Chicken Fecal House 2 Front_HMV_environmental/other	0	1	1	chicken-fecal-house-2-front_hmv_environmental/other	Poultry
194	Chicken Fecal House 3 - Back_HMV_environmental/other	0	1	1	chicken-fecal-house-3---back_hmv_environmental/other	Poultry
195	Chicken Fecal House 3 Back_HMV_environmental/other	0	2	2	chicken-fecal-house-3-back_hmv_environmental/other	Poultry
196	Chicken Fecal House 3 Middle_HMV_environmental/other	0	2	2	chicken-fecal-house-3-middle_hmv_environmental/other	Poultry
197	Chicken Fecal House 4 - Back_HMV_environmental/other	0	1	1	chicken-fecal-house-4---back_hmv_environmental/other	Poultry
198	Chicken Fecal House 4 - Middle_HMV_environmental/other	0	1	1	chicken-fecal-house-4---middle_hmv_environmental/other	Poultry
199	Chicken Fecal House 4 Middle_HMV_environmental/other	0	1	1	chicken-fecal-house-4-middle_hmv_environmental/other	Poultry
200	Chicken House 1 Fecal - Back_HMV_environmental/other	0	1	1	chicken-house-1-fecal---back_hmv_environmental/other	Poultry
201	Chicken House 1 Fecal - Front_HMV_environmental/other	0	2	2	chicken-house-1-fecal---front_hmv_environmental/other	Poultry
202	Chicken House 1 Fecal - Middle_HMV_environmental/other	0	2	2	chicken-house-1-fecal---middle_hmv_environmental/other	Poultry
203	Chicken House 1 Fly Trap - Outside_HMV_environmental/other	0	2	2	chicken-house-1-fly-trap---outside_hmv_environmental/other	Poultry
204	Chicken House 1 Litter Back_HMV_environmental/other	0	1	1	chicken-house-1-litter-back_hmv_environmental/other	Poultry
205	Chicken House 2 Fecal - Back_HMV_environmental/other	0	1	1	chicken-house-2-fecal---back_hmv_environmental/other	Poultry
206	Chicken House 2 Fecal - Front_HMV_environmental/other	0	1	1	chicken-house-2-fecal---front_hmv_environmental/other	Poultry
207	Chicken House 2 Fly Trap - Inside_HMV_environmental/other	0	1	1	chicken-house-2-fly-trap---inside_hmv_environmental/other	Poultry
208	Chicken House 2 Fly Trap - Outside_HMV_environmental/other	0	1	1	chicken-house-2-fly-trap---outside_hmv_environmental/other	Poultry
209	Chicken House 2 Inside Back Fly Trap_HMV_environmental/other	0	1	1	chicken-house-2-inside-back-fly-trap_hmv_environmental/other	Poultry
210	Chicken House 2 Litter Back_HMV_environmental/other	0	1	1	chicken-house-2-litter-back_hmv_environmental/other	Poultry
211	Chicken House 2 Litter Front_HMV_environmental/other	0	2	2	chicken-house-2-litter-front_hmv_environmental/other	Poultry
212	Chicken House 3 Fecal - Back_HMV_environmental/other	0	2	2	chicken-house-3-fecal---back_hmv_environmental/other	Poultry
213	Chicken House 3 Fecal - Front_HMV_environmental/other	0	1	1	chicken-house-3-fecal---front_hmv_environmental/other	Poultry
214	Chicken House 3 Inside Back Fly Trap_HMV_environmental/other	0	2	2	chicken-house-3-inside-back-fly-trap_hmv_environmental/other	Poultry
215	Chicken House 3 Litter - Back_HMV_environmental/other	0	1	1	chicken-house-3-litter---back_hmv_environmental/other	Poultry
216	Chicken House 3 Litter Back_HMV_environmental/other	0	1	1	chicken-house-3-litter-back_hmv_environmental/other	Poultry
217	Chicken House 4 Fecal - Middle_HMV_environmental/other	0	1	1	chicken-house-4-fecal---middle_hmv_environmental/other	Poultry
218	Chicken House 4 Litter Back_HMV_environmental/other	0	1	1	chicken-house-4-litter-back_hmv_environmental/other	Poultry
219	Chicken House Litter - House 1_HMV_environmental/other	0	2	2	chicken-house-litter---house-1_hmv_environmental/other	Poultry
220	Chicken House Litter - House 2_HMV_environmental/other	0	1	1	chicken-house-litter---house-2_hmv_environmental/other	Poultry
221	Chicken House Litter - House 4_HMV_environmental/other	0	3	3	chicken-house-litter---house-4_hmv_environmental/other	Poultry
222	Chicken Leg (Gallus gallus)_HMV_environmental/other	0	1	1	chicken-leg-(gallus-gallus)_hmv_environmental/other	Poultry
223	Chicken Legs_HMV_environmental/other	0	80	80	chicken-legs_hmv_environmental/other	Poultry
224	Chicken Litter House 1 - Back_HMV_environmental/other	0	1	1	chicken-litter-house-1---back_hmv_environmental/other	Poultry
